127.0.0.1 - - [04/Apr/2022:12:43:47 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [04/Apr/2022:12:43:48 +0900] "GET /BBS/ HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [04/Apr/2022:12:43:48 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2300
0:0:0:0:0:0:0:1 - - [04/Apr/2022:12:43:49 +0900] "GET /BBS/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2022:12:43:49 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2022:12:43:49 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [04/Apr/2022:12:43:53 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 500 2645
0:0:0:0:0:0:0:1 - - [04/Apr/2022:12:45:00 +0900] "GET /BBS/ HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [04/Apr/2022:12:45:00 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2300
0:0:0:0:0:0:0:1 - - [04/Apr/2022:12:45:00 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [04/Apr/2022:12:45:05 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 500 2645
0:0:0:0:0:0:0:1 - - [04/Apr/2022:12:46:57 +0900] "GET /BBS/ HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [04/Apr/2022:12:46:57 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2300
0:0:0:0:0:0:0:1 - - [04/Apr/2022:12:46:57 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [04/Apr/2022:12:47:00 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 500 2645
0:0:0:0:0:0:0:1 - - [04/Apr/2022:12:47:34 +0900] "GET /BBS/ HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [04/Apr/2022:12:47:34 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2300
0:0:0:0:0:0:0:1 - - [04/Apr/2022:12:47:34 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [04/Apr/2022:12:47:38 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 500 2645
0:0:0:0:0:0:0:1 - - [04/Apr/2022:12:50:40 +0900] "GET /BBS/ HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [04/Apr/2022:12:50:41 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2300
0:0:0:0:0:0:0:1 - - [04/Apr/2022:12:50:41 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [04/Apr/2022:12:50:44 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 500 2645
0:0:0:0:0:0:0:1 - - [04/Apr/2022:12:53:02 +0900] "GET /BBS/ HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [04/Apr/2022:12:53:02 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2300
